method,name,period,distance
Transit,Kepler-1291 b,8.63043276,982
Transit,Kepler-1290 b,4.69500134,1321
Transit,Kepler-1289 b,7.99019627,1059
Transit,Kepler-1288 b,2.76122421,715
Transit,Kepler-1287 b,11.47685909,1027
Transit,Kepler-1286 b,11.25402929,1150
Transit,Kepler-1285 b,14.7967458,364
Transit,Kepler-1284 b,0.66407381,852
Transit,Kepler-1283 b,12.9460978,1452
Transit,Kepler-1282 b,2.13194651,1126
Transit,Kepler-1281 b,3.11602791,1090
Transit,Kepler-1280 b,66.5579057,1006
Transit,Kepler-1279 b,23.4774101,1017
Transit,Kepler-1278 b,3.23941344,743
Transit,Kepler-1277 b,40.8365012,606
Transit,Kepler-1276 b,12.5720095,587
Transit,Kepler-1275 b,3.65691115,1280
Transit,Kepler-1274 b,6.98152703,609
Transit,Kepler-1273 b,28.625653,1355
Transit,Kepler-1272 b,51.1309704,896
Transit,Kepler-1271 b,3.0255955,885
Transit,Kepler-1270 b,6.03356196,1204
Transit,Kepler-1269 b,37.3331536,710
Transit,Kepler-1268 b,40.9903986,1406
Transit,Kepler-1267 b,13.0313945,1628
Transit,Kepler-1266 b,28.474748,901
Transit,Kepler-1265 b,6.49441289,581
Transit,Kepler-1264 b,0.96852602,814
Transit,Kepler-1263 b,4.55139967,695
Transit,Kepler-1262 b,8.67900242,1153
Transit,Kepler-1261 b,48.4308991,795
Transit,Kepler-1260 b,19.1187753,1041
Transit,Kepler-1259 b,0.66308526,704
Transit,Kepler-1258 b,0.98494017,651
Transit,Kepler-1257 b,2.66831376,1081
Transit,Kepler-1256 b,12.4127754,862
Transit,Kepler-1255 b,36.2919336,1344
Transit,Kepler-1254 d,5.72717226,676
Transit,Kepler-1254 c,3.60084276,676
Transit,Kepler-1254 b,9.99113313,676
Transit,Kepler-1253 b,68.8861915,390
Transit,Kepler-1252 b,15.0540329,828
Transit,Kepler-1251 b,45.0904643,863
Transit,Kepler-1250 b,2.60754383,1371
Transit,Kepler-1249 b,24.3347127,1674
Transit,Kepler-1248 b,7.46725407,540
Transit,Kepler-1247 b,13.71220213,1094
Transit,Kepler-1246 b,11.32271513,435
Transit,Kepler-1245 c,2.93658468,861
Transit,Kepler-1245 b,4.35409304,861
Transit,Kepler-1244 b,3.70428172,764
Transit,Kepler-1243 b,16.8320729,877
Transit,Kepler-1242 b,13.62798432,682
Transit,Kepler-1241 b,18.5525701,936
Transit,Kepler-1240 b,4.8663815,614
Transit,Kepler-1239 b,5.19104016,2511
Transit,Kepler-1238 b,4.14787559,1533
Transit,Kepler-1237 b,84.5733226,1121
Transit,Kepler-1236 b,31.0571618,1078
Transit,Kepler-1235 b,4.16055856,533
Transit,Kepler-1234 b,11.94014029,866
Transit,Kepler-1233 b,45.1263042,1281
Transit,Kepler-1232 b,26.7839183,740
Transit,Kepler-1231 b,10.41725184,948
Transit,Kepler-1230 b,9.95661537,1433
Transit,Kepler-1229 b,86.828989,236
Transit,Kepler-1228 b,0.57736958,547
Transit,Kepler-1227 b,94.2887577,667
Transit,Kepler-1226 b,17.2923453,779
Transit,Kepler-1225 b,7.01075434,1241
Transit,Kepler-1224 b,13.32351601,578
Transit,Kepler-1223 b,16.301259,455
Transit,Kepler-1222 b,1.91694425,455
Transit,Kepler-1221 b,12.00096042,909
Transit,Kepler-1220 b,7.42693741,958
Transit,Kepler-1219 b,16.10467749,622
Transit,Kepler-1218 b,22.9221266,667
Transit,Kepler-1217 b,2.03232507,1363
Transit,Kepler-1216 b,4.37034536,1124
Transit,Kepler-1215 b,4.76703963,701
Transit,Kepler-1214 b,18.82634264,757
Transit,Kepler-1213 b,5.34982412,685
Transit,Kepler-1212 b,12.94130146,1304
Transit,Kepler-1211 b,11.01816836,1486
Transit,Kepler-1210 b,8.07124073,1155
Transit,Kepler-1209 b,25.369116,558
Transit,Kepler-1208 b,11.08507637,877
Transit,Kepler-1207 b,13.68237119,946
