method,method_index,name,period,distance
Radial Velocity,7,HD 147379 b,87,11
Radial Velocity,7,HD 147513 b,528,13
Radial Velocity,7,HD 147873 b,117,105
Radial Velocity,7,HD 147873 c,492,105
Radial Velocity,7,HD 148156 b,1,027,53
Radial Velocity,7,HD 148427 b,332,59
Radial Velocity,7,HD 149026 b,3,79
Radial Velocity,7,HD 149143 b,4,63
Radial Velocity,7,HD 150706 b,5,894,27
Radial Velocity,7,HD 152079 b,2,899,83
Radial Velocity,7,HD 152581 b,689,183
Radial Velocity,7,HD 153950 b,499,52
Radial Velocity,7,HD 154345 b,3,342,18
Radial Velocity,7,HD 154672 b,164,65
Radial Velocity,7,HD 154857 b,409,69
Radial Velocity,7,HD 154857 c,3,452,69
Radial Velocity,7,HD 155233 b,819,75
Radial Velocity,7,HD 155358 b,194,43
Radial Velocity,7,HD 155358 c,392,43
Radial Velocity,7,HD 156279 b,131,35
Radial Velocity,7,HD 156411 b,842,55
Radial Velocity,7,HD 156668 b,5,24
Radial Velocity,7,HD 156846 b,360,49
Radial Velocity,7,HD 158038 b,521,114
Radial Velocity,7,HD 158996 b,820,294
Radial Velocity,7,HD 159243 b,13,69
Radial Velocity,7,HD 159243 c,248,69
Radial Velocity,7,HD 159868 b,1,178,53
Radial Velocity,7,HD 159868 c,352,53
Radial Velocity,7,HD 160691 b,643,15
Radial Velocity,7,HD 160691 c,4,206,15
Radial Velocity,7,HD 160691 d,10,15
Radial Velocity,7,HD 160691 e,311,15
Radial Velocity,7,HD 162020 b,8,31
Radial Velocity,7,HD 163607 b,75,69
Radial Velocity,7,HD 163607 c,1,314,69
Radial Velocity,7,HD 164509 b,282,52
Radial Velocity,7,HD 164595 b,40,29
Radial Velocity,7,HD 164604 b,606,38
Radial Velocity,7,HD 164922 b,1,155,22
Radial Velocity,7,HD 164922 c,76,22
Radial Velocity,7,HD 165155 b,435,65
Radial Velocity,7,HD 166724 b,5,144,43
Radial Velocity,7,HD 167042 b,421,50
Radial Velocity,7,HD 168443 b,58,38
Radial Velocity,7,HD 168443 c,1,750,38
Radial Velocity,7,HD 168746 b,6,43
Radial Velocity,7,HD 169830 b,226,36
Radial Velocity,7,HD 169830 c,2,102,36
Radial Velocity,7,HD 170469 b,1,145,65
Radial Velocity,7,HD 171028 b,550,90
Radial Velocity,7,HD 171238 b,1,523,44
Radial Velocity,7,HD 173416 b,324,135
Radial Velocity,7,HD 175167 b,1,290,67
Radial Velocity,7,HD 175541 b,297,128
Radial Velocity,7,HD 175607 b,29,45
Radial Velocity,7,HD 176986 b,6,26
Radial Velocity,7,HD 176986 c,17,26
Radial Velocity,7,HD 177565 b,45,17
Radial Velocity,7,HD 177830 b,410,59
Radial Velocity,7,HD 177830 c,111,59
Radial Velocity,7,HD 178911 B b,71,47
Radial Velocity,7,HD 179079 b,14,64
Radial Velocity,7,HD 179949 b,3,27
Radial Velocity,7,HD 180314 b,396,132
Radial Velocity,7,HD 180902 b,479,115
Radial Velocity,7,HD 181342 b,663,111
Radial Velocity,7,HD 181433 b,9,26
Radial Velocity,7,HD 181433 c,962,26
Radial Velocity,7,HD 181433 d,2,172,26
Radial Velocity,7,HD 181720 b,956,56
Radial Velocity,7,HD 183263 b,627,53
Radial Velocity,7,HD 183263 c,3,070,53
Radial Velocity,7,HD 185269 b,7,47
Radial Velocity,7,HD 187085 b,986,45
Radial Velocity,7,HD 187123 b,3,48
Radial Velocity,7,HD 187123 c,3,810,48
Radial Velocity,7,HD 188015 b,461,53
Radial Velocity,7,HD 189733 b,2,19
Radial Velocity,7,HD 190360 b,2,915,16
Radial Velocity,7,HD 190360 c,17,16
Radial Velocity,7,HD 190647 b,1,038,54
Radial Velocity,7,HD 190984 b,4,885,189
Radial Velocity,7,HD 191806 b,1,606,73
Radial Velocity,7,HD 192263 b,24,20
Radial Velocity,7,HD 192310 b,75,9
Radial Velocity,7,HD 192310 c,526,9
Radial Velocity,7,HD 192699 b,346,67
Radial Velocity,7,HD 195019 b,18,37
Radial Velocity,7,HD 196050 b,1,378,47
Radial Velocity,7,HD 196067 b,3,638,44
Radial Velocity,7,HD 196885 b,1,333,33
Radial Velocity,7,HD 197037 b,1,036,33
Radial Velocity,7,HD 200964 b,614,68
Radial Velocity,7,HD 200964 c,825,68
Radial Velocity,7,HD 202206 c,1,260,46
Radial Velocity,7,HD 204313 b,1,920,47
Radial Velocity,7,HD 204313 c,35,47
Radial Velocity,7,HD 204941 b,1,733,27
Radial Velocity,7,HD 205739 b,280,90
Radial Velocity,7,HD 206610 b,610,170
Radial Velocity,7,HD 207832 b,162,55
Radial Velocity,7,HD 207832 c,1,156,55
Radial Velocity,7,HD 208487 b,130,44
Radial Velocity,7,HD 208527 b,876,352
